站代號,站名,郵遞區號,地址,經度,緯度,電話,服務類型,提供服務時段
D2161,二重站,241,新北市三重區重新路五段652號,121.46805555555555,25.04388888888889,(02)29950790,Gogoro電動機車換電,07:00-22:00
D2163,信義路站,106,台北市大安區信義路四段374號,121.55555555555556,25.033055555555556,(02)27081235,電動機車充電,00:00-24:00
D2163,信義路站,106,台北市大安區信義路四段374號,121.55555555555556,25.033055555555556,(02)27081235,Gogoro電動機車換電,00:00-24:00
D2164,汀州路站,100,台北市中正區汀州路三段１號,121.52583333333334,25.020555555555553,(02)23655595,光陽電動機車換電2.0,00:00-24:00
D2165,民生東路站,105,台北市松山區三民路126號,121.56388888888888,25.059444444444445,(02)27671664,電動機車充電,00:00-24:00
D2165,民生東路站,105,台北市松山區三民路126號,121.56388888888888,25.059444444444445,(02)27671664,Gogoro電動機車換電,00:00-24:00
D2168,文林路站,111,台北市士林區文林路100號,121.5261111111111,25.0875,(02)28817934,電動機車充電,00:00-24:00
D2169,富陽街站,106,台北市大安區富陽街129號,121.55694444444444,25.019166666666667,(02)27324229,光陽電動機車換電2.0,00:00-24:00
D216J,大埔站,237,新北市三峽區中正路二段165號,121.36666666666666,24.91472222222222,(02)26710050,電動機車充電,07:00-23:00
D216J,大埔站,237,新北市三峽區中正路二段165號,121.36666666666666,24.91472222222222,(02)26710050,Gogoro電動機車換電,07:00-23:00
D216K,五股工業區站,242,新北市新莊區五工路99-3號(周日營業時間:09~18),121.4563888888889,25.064444444444444,(02)22980057,電動機車充電,07:00-23:00
D216K,五股工業區站,242,新北市新莊區五工路99-3號(周日營業時間:09~18),121.4563888888889,25.064444444444444,(02)22980057,Gogoro電動機車換電,07:00-23:00
D216R,埔墘站,220,新北市板橋區中山路二段320號(22:00~07:00僅提供自助加油與柴油人工加油),121.48083333333334,25.019444444444442,(02)29553436,電動機車充電,00:00-24:00
D216R,埔墘站,220,新北市板橋區中山路二段320號(22:00~07:00僅提供自助加油與柴油人工加油),121.48083333333334,25.019444444444442,(02)29553436,光陽電動機車換電2.0,00:00-24:00
D216U,內湖麗山街站,114,台北市內湖區內湖路一段362號,121.57111111111111,25.08138888888889,(02)26577339,Gogoro電動機車換電,00:00-24:00
D216V,淡海新市鎮站,251,新北市淡水區埤島里二鄰淡金路2段599號,121.44611111111111,25.191944444444445,(02)26228923,光陽電動機車換電2.0,00:00-24:00
D2170,五股站,248,新北市五股區中興路四段21號,121.4388888888889,25.0825,(02)22917541,電動機車充電,00:00-24:00
D2170,五股站,248,新北市五股區中興路四段21號,121.4388888888889,25.0825,(02)22917541,光陽電動機車換電2.0,00:00-24:00
D2171,重陽路,241,新北市三重區忠孝路一段１號,121.4925,25.071944444444444,(02)29718645,Gogoro電動機車換電,00:00-24:00
D2172,新生北路站,104,台北市中山區新生北路二段71號,121.52805555555555,25.05666666666667,(02)25815206,Gogoro電動機車換電,00:00-24:00
D2174,土城站,236,新北市土城區中央路二段280號,121.44083333333333,24.974166666666665,(02)22602808,Gogoro電動機車換電,00:00-24:00
D2177,大豐站,231,新北市新店區北新路二段205號,121.54222222222222,24.97833333333333,(02)29117053,光陽電動機車換電2.0,00:00-24:00
D2178,林森北路站,100,台北市中正區林森北路11號,121.52388888888889,25.045833333333334,(02)23410686,光陽電動機車換電2.0,00:00-24:00
D2179,積穗站,235,新北市中和區中山路二段550號,121.48361111111112,25.005,(02)22219719,Gogoro電動機車換電,00:00-24:00
D234C,武陵站,330,桃園市桃園區中山路1020號,121.28472222222221,24.988333333333333,(03)3604492,電動機車充電,00:00-24:00
D234C,武陵站,330,桃園市桃園區中山路1020號,121.28472222222221,24.988333333333333,(03)3604492,Gogoro電動機車換電,00:00-24:00
D234D,中山路站,330,桃園市桃園區中山路522號,121.3,24.992222222222225,(03)3323504,光陽電動機車換電2.0,00:00-24:00
D234F,迴龍站,333,桃園市龜山區龍壽里萬壽路一段383號,121.4,25.016111111111112,(02)82093915,電動機車充電,00:00-24:00
D234F,迴龍站,333,桃園市龜山區龍壽里萬壽路一段383號,121.4,25.016111111111112,(02)82093915,Gogoro電動機車換電,00:00-24:00
D234G,林口工三站,333,桃園市龜山區樂善里文化一路33號,121.37027777777777,25.061666666666667,(03)3282232,電動機車充電,00:00-24:00
D234G,林口工三站,333,桃園市龜山區樂善里文化一路33號,121.37027777777777,25.061666666666667,(03)3282232,Gogoro電動機車換電,00:00-24:00
D234H,龜山站,333,桃園市龜山區萬壽路二段640號,121.34638888888888,25,(03)3296223,電動機車充電,00:00-24:00
D234H,龜山站,333,桃園市龜山區萬壽路二段640號,121.34638888888888,25,(03)3296223,光陽電動機車換電2.0,00:00-24:00
D234M,蘆竹站,338,桃園市蘆竹區錦興里中正路342號,121.29138888888889,25.049444444444447,(03)3224714,光陽電動機車換電2.0,00:00-24:00
D234N,三民路站,330,桃園市桃園區三民路一段150號,121.32055555555556,24.999722222222225,(03)3348425,電動機車充電,00:00-24:00
D234N,三民路站,330,桃園市桃園區三民路一段150號,121.32055555555556,24.999722222222225,(03)3348425,光陽電動機車換電2.0,00:00-24:00
D234V,大園站,337,桃園市大園區中正東路58號,121.19916666666667,25.063333333333333,(03)3862243,光陽電動機車換電2.0,07:00-22:00
D234W,大竹站,338,桃園市蘆竹區大竹里大竹路503號,121.260833333333,25.0227777777778,(03)3232425,電動機車充電,07:00-22:00
D234W,大竹站,338,桃園市蘆竹區大竹里大竹路503號,121.260833333333,25.0227777777778,(03)3232425,光陽電動機車換電2.0,07:00-22:00
D234X,春日路站,330,桃園市桃園區春日路971號,121.31027777777777,25.010555555555555,(03)3550381,電動機車充電,00:00-24:00
D234X,春日路站,330,桃園市桃園區春日路971號,121.31027777777777,25.010555555555555,(03)3550381,Gogoro電動機車換電,00:00-24:00
D234Y,平鎮站,324,桃園市平鎮區延平路二段152號,121.21055555555556,24.948055555555555,(03)4934734,電動機車充電,00:00-24:00
D234Y,平鎮站,324,桃園市平鎮區延平路二段152號,121.21055555555556,24.948055555555555,(03)4934734,光陽電動機車換電2.0,00:00-24:00
D234Z,埔心站,326,桃園市楊梅區中山北路二段308號,121.17472222222223,24.911944444444444,(03)4826370,電動機車充電,00:00-24:00
D234Z,埔心站,326,桃園市楊梅區中山北路二段308號,121.17472222222223,24.911944444444444,(03)4826370,Gogoro電動機車換電,00:00-24:00
D235C,梅溪站,326,桃園市楊梅區中山北路一段391號,121.15944444444445,24.90861111111111,(03)4782632,電動機車充電,00:00-24:00
D235C,梅溪站,326,桃園市楊梅區中山北路一段391號,121.15944444444445,24.90861111111111,(03)4782632,光陽電動機車換電2.0,00:00-24:00
D235D,新富站,324,桃園市平鎮區新富里中豐路一段298號,121.212726,24.927107,(03)4573401,電動機車充電,00:00-24:00
D235D,新富站,324,桃園市平鎮區新富里中豐路一段298號,121.212726,24.927107,(03)4573401,Gogoro電動機車換電,00:00-24:00
D235E,建龍站,325,桃園市龍潭區烏林里中豐路716號,121.21277777777777,24.889166666666664,(03)4792578,電動機車充電,07:00-22:00
D235E,建龍站,325,桃園市龍潭區烏林里中豐路716號,121.21277777777777,24.889166666666664,(03)4792578,Gogoro電動機車換電,07:00-22:00
D235F,新坡站,328,桃園市觀音區大同里中山路二段794號,121.13944444444445,25.010555555555555,(03)2825887,電動機車充電,07:00-21:00
D235F,新坡站,328,桃園市觀音區大同里中山路二段794號,121.13944444444445,25.010555555555555,(03)2825887,光陽電動機車換電2.0,07:00-21:00
D235G,新屋站,327,桃園市新屋區中山路85號,121.11055555555555,24.97083333333333,(03)4772644,電動機車充電,07:00-22:00
D235G,新屋站,327,桃園市新屋區中山路85號,121.11055555555555,24.97083333333333,(03)4772644,Gogoro電動機車換電,07:00-22:00
D235H,觀音站,328,桃園市觀音區廣興里中山路一段166號,121.08527777777778,25.034722222222225,(03)4735944,電動機車充電,07:00-21:00
D235H,觀音站,328,桃園市觀音區廣興里中山路一段166號,121.08527777777778,25.034722222222225,(03)4735944,光陽電動機車換電2.0,07:00-21:00
D235J,龍潭站,325,桃園市龍潭區北龍路264號,121.2175,24.8675,(03)4792614,電動機車充電,00:00-24:00
D235J,龍潭站,325,桃園市龍潭區北龍路264號,121.2175,24.8675,(03)4792614,光陽電動機車換電2.0,00:00-24:00
D235K,富岡站,326,桃園市楊梅區民富路三段574號,121.09333333333333,24.933888888888887,(03)4722045,電動機車充電,07:00-21:00
D235K,富岡站,326,桃園市楊梅區民富路三段574號,121.09333333333333,24.933888888888887,(03)4722045,光陽電動機車換電2.0,07:00-21:00
D235L,介壽路站,330,桃園市桃園區介壽路324號,121.30499999999999,24.980277777777776,(03)3615070,電動機車充電,00:00-24:00
D235L,介壽路站,330,桃園市桃園區介壽路324號,121.30499999999999,24.980277777777776,(03)3615070,光陽電動機車換電2.0,00:00-24:00
D235M,八德站,334,桃園市八德區竹園里長興路556號,121.27111111111111,24.93277777777778,(03)3651042,電動機車充電,07:00-22:00
D235M,八德站,334,桃園市八德區竹園里長興路556號,121.27111111111111,24.93277777777778,(03)3651042,Gogoro電動機車換電,07:00-22:00
D235N,茄苳站,334,桃園市八德區茄苳里中華路575號,121.26972222222223,24.97722222222222,(03)3696978,電動機車充電,07:00-22:00
D235N,茄苳站,334,桃園市八德區茄苳里中華路575號,121.26972222222223,24.97722222222222,(03)3696978,Gogoro電動機車換電,07:00-22:00
D235P,獅子王站,326,桃園市楊梅區幼獅工業區獅二路16號,121.17194444444445,24.92388888888889,(03)4961585,電動機車充電,00:00-24:00
D235P,獅子王站,326,桃園市楊梅區幼獅工業區獅二路16號,121.17194444444445,24.92388888888889,(03)4961585,光陽電動機車換電3.0,00:00-24:00
D235Q,中壢工業區加油站,320,桃園市中壢區中華路二段230號,121.23805555555556,24.96527777777778,(03)4521948,電動機車充電,00:00-24:00
D235Q,中壢工業區加油站,320,桃園市中壢區中華路二段230號,121.23805555555556,24.96527777777778,(03)4521948,Gogoro電動機車換電,00:00-24:00
D235R,中壢工二站,320,桃園市中壢區吉林路37巷15號,121.247222222222,24.98,(03)4620443,電動機車充電,00:00-24:00
D235R,中壢工二站,320,桃園市中壢區吉林路37巷15號,121.247222222222,24.98,(03)4620443,Gogoro電動機車換電,00:00-24:00
D235V,大溪站,335,桃園市大溪區瑞興里20鄰瑞安路一段268號,121.27944444444444,24.885833333333334,(03)3801304,電動機車充電,07:00-21:00
D235V,大溪站,335,桃園市大溪區瑞興里20鄰瑞安路一段268號,121.27944444444444,24.885833333333334,(03)3801304,Gogoro電動機車換電,07:00-21:00
D235X,慈湖站,335,桃園市大溪區復興路一段970號,121.285,24.84638888888889,(03)3881410,電動機車充電,07:00-21:00
D235X,慈湖站,335,桃園市大溪區復興路一段970號,121.285,24.84638888888889,(03)3881410,Gogoro電動機車換電,07:00-21:00
D235Y,復興站,336,桃園市復興區澤仁里中正路410號,121.354166666667,24.8233333333333,(03)3822939,Gogoro電動機車換電,07:00-22:00
D235Z,觀音三和站,328,桃園市觀音區三和里濱海路武威段2號,121.08638888888889,25.025277777777777,(03)4737011,Gogoro電動機車換電,07:00-21:00
D237W,大園民生站,337,桃園市大園區橫峰里1鄰民生南路163號,121.20222222222222,25.064444444444444,(03)3856171,電動機車充電,00:00-24:00
D237W,大園民生站,337,桃園市大園區橫峰里1鄰民生南路163號,121.20222222222222,25.064444444444444,(03)3856171,Gogoro電動機車換電,00:00-24:00
D237Z,大園國際二站,337,桃園市大園區國際路一段338號,121.198055555556,25.0713888888889,(03)3852370,電動機車充電,07:00-22:00
D237Z,大園國際二站,337,桃園市大園區國際路一段338號,121.198055555556,25.0713888888889,(03)3852370,Gogoro電動機車換電,07:00-22:00
D4140,彰化站,500,彰化縣彰化市和調里中山路三段27號,120.55361111111111,24.084722222222222,(04)7222759,Gogoro電動機車換電,00:00-24:00
D4141,三民路站,402,台中市南區福平里三民路一段１號,120.66694444444445,24.128055555555555,(04)22613854,Gogoro電動機車換電,07:00-18:00
D4144,豐潭站,427,台中市潭子區栗林里中山路三段249號,120.7075,24.226666666666667,(04)25324634,光陽電動機車換電2.0,07:00-22:00
D4145,大甲站,437,台中市大甲區頂店里中山路一段1120號,120.63194444444444,24.354722222222225,(04)26872314,Gogoro電動機車換電,00:00-24:00
D4147,員林站,510,彰化縣員林市三多里中山路二段495號,120.57111111111111,23.97138888888889,(04)8320294,Gogoro電動機車換電,00:00-24:00
D4148,二林站,526,彰化縣二林鎮豐田里二溪路一段212號,120.3736111111111,23.9025,(04)8960049,Gogoro電動機車換電,00:00-24:00
D4149,東勢站,423,台中市東勢區粵寧里豐勢路678號,120.82388888888889,24.261666666666667,(04)25872454,Gogoro電動機車換電,00:00-24:00
D414A,龍井站,434,台中市龍井區竹坑里沙田路四段175號,120.54555555555555,24.190555555555555,(04)26353010,光陽電動機車換電2.0,07:00-22:00
D414E,埔里中山路站,545,南投縣埔里鎮中山路二段141號,120.97222222222223,23.96861111111111,(049)2982844,Gogoro電動機車換電,07:00-22:00
D414F,國聖站,500,彰化縣彰化市國聖里中山路三段708號,120.56972222222223,24.09472222222222,(04)7321540,Gogoro電動機車換電,07:00-22:00
D414G,草屯新豐站,542,南投縣草屯鎮中正路1615號,120.68972222222223,23.999722222222225,(049)2333704,Gogoro電動機車換電,07:00-22:00
D414K,芬園站,502,彰化縣芬園鄉彰南路四段354號,120.6275,24.01861111111111,(049)2522244,Gogoro電動機車換電,07:00-22:00
D414L,大肚站,432,台中市大肚區新興里沙田路二段222號,120.54972222222221,24.140277777777776,(04)26992502,光陽電動機車換電2.0,00:00-24:00
D414M,南投三和站,540,南投縣南投市三和里中興路549號,120.69083333333333,23.906388888888888,(049)2227255,電動機車充電,00:00-24:00
D414N,國姓站,544,南投縣國姓鄉福龜村中正路一段55號,120.82805555555555,24.024166666666666,(049)2721240,光陽電動機車換電3.0,07:00-22:00
D414T,和美站,508,彰化縣和美鎮和東里彰美路五段85號,120.50277777777778,24.106944444444444,(04)7553024,Gogoro電動機車換電,00:00-24:00
D414W,鹿谷站,558,南投縣鹿谷鄉鹿谷村中正路二段137號,120.7525,23.747777777777777,(049)2752874,電動機車充電,06:30-21:30
D414W,鹿谷站,558,南投縣鹿谷鄉鹿谷村中正路二段137號,120.7525,23.747777777777777,(049)2752874,Gogoro電動機車換電,06:30-21:30
D414X,沙鹿站,433,台中市沙鹿區台灣大道7段391號,120.57305555555556,24.231111111111108,(04)26314644,光陽電動機車換電2.0,00:00-24:00
D414Z,社頭站,511,彰化縣社頭鄉員集路二段583號,120.58361111111111,23.904444444444444,(04)8732534,Gogoro電動機車換電,00:00-24:00
D4154,清水站,436,台中市清水區中山路507-18號,120.57833333333333,24.27777777777778,(04)26222464,Gogoro電動機車換電,00:00-24:00
D4155,水里站,553,南投縣水里鄉南光村民生路53號,120.85749999999999,23.808611111111112,(049)2770244,Gogoro電動機車換電,07:00-22:00
D4157,溪州站,524,彰化縣溪州鄉溪州村中山路三段6號,120.4888888888889,23.851944444444445,(04)8892079,Gogoro電動機車換電,07:00-22:00
D4159,田中站,520,彰化縣田中鎮南路里員集路一段783號,120.5911111111111,23.85,(04)8742705,電動機車充電,07:00-22:00
D4159,田中站,520,彰化縣田中鎮南路里員集路一段783號,120.5911111111111,23.85,(04)8742705,Gogoro電動機車換電,07:00-22:00
D415A,大安站,439,台中市大安區東安里8鄰中山南路193號,120.58888888888889,24.343333333333334,(04)26712249,電動機車充電,07:00-22:00
D415A,大安站,439,台中市大安區東安里8鄰中山南路193號,120.58888888888889,24.343333333333334,(04)26712249,Gogoro電動機車換電,07:00-22:00
D415E,埤頭站,523,彰化縣埤頭鄉中和村彰水路一段499號,120.4575,23.849722222222223,(04)8897844,光陽電動機車換電2.0,07:00-22:00
D415F,卓蘭站,369,苗栗縣卓蘭鎮中正西路101號,120.82305555555556,24.310555555555556,(04)25892174,光陽電動機車換電2.0,07:00-22:00
D415H,大甲日南站,437,台中市大甲區經國路1666號,120.64222222222223,24.366388888888892,(04)26871037,電動機車充電,07:00-21:00
D415J,中寮站,541,南投縣中寮鄉永平村永平路349-13號,120.76194444444444,23.88,(049)2691730,Gogoro電動機車換電,07:00-18:00
D415K,芳苑站,528,彰化縣芳苑鄉仁愛村斗苑路10號,120.32694444444444,23.92,(04)8984558,Gogoro電動機車換電,07:00-22:00
D415L,太平站,411,台中市太平區太平里太平路651號,120.71083333333334,24.12666666666667,(04)22787508,光陽電動機車換電2.0,00:00-24:00
D415N,魚池站,555,南投縣魚池鄉魚池村魚池街772號,120.92888888888889,23.902777777777775,(049)2895352,電動機車充電,06:30-21:30
D415N,魚池站,555,南投縣魚池鄉魚池村魚池街772號,120.92888888888889,23.902777777777775,(049)2895352,Gogoro電動機車換電,06:30-21:30
D415T,集集站,552,南投縣集集鎮林尾里民生路317號,120.77555555555556,23.82611111111111,(049)2763894,Gogoro電動機車換電,07:00-22:00
D415V,大雅中清路站,428,台中市大雅區中清路三段951號,120.64833333333334,24.217777777777776,(04)25664445,光陽電動機車換電2.0,00:00-24:00
D415W,伸港站,509,彰化縣伸港鄉新港村新港路95號,120.48777777777778,24.14361111111111,(04)7983424,光陽電動機車換電2.0,07:00-22:00
D415X,梧棲站,435,台中市梧棲區八德路2號,120.53222222222222,24.260833333333334,(04)26568415,Gogoro電動機車換電,00:00-24:00
D415Y,信義站,556,南投縣信義鄉明德村玉山路116號,120.85333333333332,23.708055555555553,(049)2791837,光陽電動機車換電2.0,06:30-21:30
D415Z,和平站,424,台中市和平區南勢里東關路三段5號,120.90361111111112,24.16888888888889,(04)25941891,Gogoro電動機車換電,07:00-22:00
D4160,永靖站,512,彰化縣永靖鄉港西村中山路一段637號,120.54472222222222,23.915555555555553,(04)8221945,電動機車充電,07:00-22:00
D4162,后里站,421,台中市后里區三豐路四段269號,120.7238888888889,24.315555555555555,(04)25562174,光陽電動機車換電2.0,00:00-24:00
D4164,大雅路站,404,台中市北區中清路一段172號,120.67722222222223,24.155277777777776,(04)22029046,光陽電動機車換電2.0,07:00-22:00
D4165,北斗站,521,彰化縣北斗鎮大道里中山路二段207號,120.51972222222223,23.876944444444444,(04)8882154,光陽電動機車換電2.0,00:00-24:00
D4167,北屯站,406,台中市北屯區北屯路436號,120.70138888888889,24.179444444444446,(04)22435121,Gogoro電動機車換電,07:00-22:00
D4168,名間站,551,南投縣名間鄉中正村南雅街151號,120.70166666666667,23.83888888888889,(049)2732629,光陽電動機車換電2.0,06:30-21:30
D416A,大城站,527,彰化縣大城鄉上山村魚寮路50號,120.32972222222222,23.86388888888889,(04)8944223,Gogoro電動機車換電,07:00-22:00
D416E,青島路站,406,台中市北屯區文心路四段119號,120.67444444444445,24.174444444444447,(04)22925400,光陽電動機車換電2.0,00:00-24:00
D416F,昌平路站,406,台中市北屯區昌平路一段95號,120.69083333333333,24.170833333333334,(04)22348061,電動機車充電,07:00-22:00
D416F,昌平路站,406,台中市北屯區昌平路一段95號,120.69083333333333,24.170833333333334,(04)22348061,Gogoro電動機車換電,07:00-22:00
D416G,永和街站,402,台中市南區和平里美村南路77號,120.666666666667,24.1194444444444,(04)22611600,光陽電動機車換電2.0,07:00-22:00
D416H,二水站,530,彰化縣二水鄉裕民村南通路二段680號,120.6211111111111,23.805555555555557,(04)8790305,Gogoro電動機車換電,07:00-22:00
D416J,東山路站,406,台中市北屯區東山路一段377-5號,120.72805555555556,24.176944444444445,(04)22392062,電動機車充電,07:00-22:00
D416J,東山路站,406,台中市北屯區東山路一段377-5號,120.72805555555556,24.176944444444445,(04)22392062,Gogoro電動機車換電,07:00-22:00
D416L,坪頂站,434,台中市龍井區新庄里臺灣大道六段6號,120.58,24.19,(04)26316507,光陽電動機車換電2.0,07:00-22:00
D416M,霧峰林森路站,413,台中市霧峰區林森路455號,120.69472222222223,24.06138888888889,(04)23339411,電動機車充電,00:00-24:00
D416M,霧峰林森路站,413,台中市霧峰區林森路455號,120.69472222222223,24.06138888888889,(04)23339411,Gogoro電動機車換電,00:00-24:00
D416N,埔鹽站,516,彰化縣埔鹽鄉好修村員鹿路二段99號,120.46027777777778,24.004444444444445,(04)8651196,Gogoro電動機車換電,07:00-22:00
D416R,石岡豐勢路站,422,台中市石岡區九房里明德路2號,120.78166666666667,24.27472222222222,(04)25722984,光陽電動機車換電2.0,00:00-24:00
D416T,員東路站,510,彰化縣員林市員東路二段413號,120.57944444444443,23.95777777777778,(04)8329743,光陽電動機車換電2.0,00:00-24:00
D416U,新社站,426,台中市新社區中正里中和街五段58號,120.80833333333334,24.25,(04)25819102,光陽電動機車換電2.0,06:30-21:30
D416V,五權西路站,402,台中市南屯區五權西路二段566號,120.64111111111112,24.141388888888887,(04)23893367,Gogoro電動機車換電,00:00-24:00
D416Y,南崗工業區站,540,南投縣南投市平山里仁和路13號,120.671934,23.922746,(049)2251460,Gogoro電動機車換電,00:00-24:00
D416Z,竹山延平站,557,南投縣竹山鎮延平里集山路二段869號,120.70972222222223,23.775,(049)2649304,Gogoro電動機車換電,07:00-22:00
D4170,烏日站,414,台中市烏日區九德里中山路一段539號,120.63416666666667,24.10611111111111,(04)23381514,Gogoro電動機車換電,00:00-24:00
D4171,復興路站,402,台中市南區復興路三段73號,120.66916666666667,24.128888888888888,(04)22617800,Gogoro電動機車換電,00:00-24:00
D4172,公園路站,404,台中市北區三民路三段50號,120.683344,24.146992,(04)22237535,Gogoro電動機車換電,00:00-24:00
D4176,翁子站,420,台中市豐原區豐勢路一段588號,120.73472222222222,24.259722222222223,(04)25225510,Gogoro電動機車換電,00:00-24:00
